Episode,Model,hidden_layers,layer_size,adv_layers,score,mean
14,Dueling-DQN,3,24,1,14.000000,13.266667
15,Dueling-DQN,3,24,1,9.000000,13.000000
16,Dueling-DQN,3,24,1,13.000000,13.000000
17,Dueling-DQN,3,24,1,45.000000,14.777778
18,Dueling-DQN,3,24,1,10.000000,14.526316
19,Dueling-DQN,3,24,1,18.000000,14.700000
0,Dueling-DQN,3,24,2,15.000000,15.000000
1,Dueling-DQN,3,24,2,12.000000,13.500000
2,Dueling-DQN,3,24,2,15.000000,14.000000
3,Dueling-DQN,3,24,2,10.000000,13.000000
4,Dueling-DQN,3,24,2,14.000000,13.200000
5,Dueling-DQN,3,24,2,15.000000,13.500000
6,Dueling-DQN,3,24,2,11.000000,13.142857
7,Dueling-DQN,3,24,2,11.000000,12.875000
8,Dueling-DQN,3,24,2,12.000000,12.777778
9,Dueling-DQN,3,24,2,26.000000,14.100000
10,Dueling-DQN,3,24,2,18.000000,14.454545
11,Dueling-DQN,3,24,2,14.000000,14.416667
12,Dueling-DQN,3,24,2,15.000000,14.461538
13,Dueling-DQN,3,24,2,13.000000,14.357143
14,Dueling-DQN,3,24,2,14.000000,14.333333
15,Dueling-DQN,3,24,2,10.000000,14.062500
16,Dueling-DQN,3,24,2,12.000000,13.941176
17,Dueling-DQN,3,24,2,8.000000,13.611111
18,Dueling-DQN,3,24,2,13.000000,13.578947
19,Dueling-DQN,3,24,2,17.000000,13.750000
